region,x,y,intercept,LnP,LnPXLnP,MinT,MinTXMinT,MinTXLnP,obs,prob
1,-112.8457376,32.41469647,1,-0.252186239,0.204991741,12.43000031,190.3446936,-6.246526238,0,0
1,-112.668949,32.41469647,1,-0.146529764,0.120480951,12.07999992,180.8096008,-4.667345363,0,0
1,-112.4921604,32.41469647,1,-0.117433116,0.10112846,11.23999977,158.9249996,-4.008970005,0,0
1,-112.3153717,32.41469647,1,-0.097282171,0.088718237,10.89999962,150.4681447,-3.653665088,0,0
1,-112.1385831,32.41469647,1,-0.145025775,0.119439133,11.39000034,162.729478,-4.408658276,0,0
1,-111.9617945,32.41469647,1,-0.16901058,0.136592685,11.35999966,161.9649677,-4.703533764,0,0
1,-111.7850059,32.41469647,1,-0.032316603,0.054237985,11.36999989,162.2196045,-2.966220567,0,0
1,-111.6082173,32.41469647,1,0.093763545,0.011408451,11.76000023,172.3062194,-1.402051035,0,0
1,-111.4314286,32.41469647,1,0.041909393,0.025174425,11.71000004,170.9960598,-2.074783713,0,0
1,-111.25464,32.41469647,1,-0.078610376,0.077943858,11.53999996,166.5789321,-3.603304682,0,0
1,-111.0778514,32.41469647,1,0.168898553,0.001003327,11.64000034,169.1702512,-0.411986838,0,0
1,-110.9010628,32.41469647,1,0.348894745,0.021999074,10.71000004,145.8429674,1.79120357,0,0
1,-110.7242742,32.41469647,1,1.30790031,1.226171784,2.599999905,15.73348747,4.392261194,0,0
1,-110.5474855,32.41469647,1,0.441539824,0.058064578,9.149999619,110.5977345,2.534129196,0,0
1,-110.3706969,32.41469647,1,0.388318926,0.035248196,8.920000076,105.8130329,1.931247917,0,0
1,-110.1939083,32.41469647,1,0.479520679,0.077811307,6.840000153,67.34740193,2.289189674,0,0
1,-110.0171197,32.41469647,1,0.375486821,0.030594531,7.230000019,73.90060574,1.503647023,0,0
1,-109.840331,32.41469647,1,0.30652833,0.011226342,7.349999905,75.97817482,0.923556692,0,0
1,-109.6635424,32.41469647,1,0.256887823,0.003171258,7.230000019,73.90060574,0.484105267,0,0
1,-109.4867538,32.41469647,1,0.174373418,0.000686465,7.440000057,77.5552558,-0.230735728,0,0
1,-109.3099652,32.41469647,1,0.004689001,0.038370892,7.199999809,73.38570938,-1.678056957,0,0
1,-109.1331766,32.41469647,1,0.2896052,0.007926573,6.460000038,61.25482496,0.696807606,0,0
1,-108.9563879,32.41469647,1,0.100840323,0.009946786,6.130000114,56.19820564,-0.747657352,0,0
1,-108.7795993,32.41469647,1,0.097761758,0.010570336,5.949999809,53.53184452,-0.752229741,0,0
1,-108.6028107,32.41469647,1,0.20855771,6.37E-05,5.059999943,41.30049446,0.051308342,0,0
